control,type,defined_line,connection_count,used_outside_init,verdict,signals
inspect_episode_combo,QComboBox,71,1,True,BRANCHE_DIRECT,currentIndexChanged->_load_episode
inspect_view_combo,QComboBox,75,1,True,BRANCHE_DIRECT,currentIndexChanged->_switch_view
inspect_kind_combo,QComboBox,81,1,True,BRANCHE_DIRECT,currentIndexChanged->_on_kind_filter_changed
segment_goto_edit,QLineEdit,90,1,True,BRANCHE_DIRECT,returnPressed->_goto_segment
segment_goto_btn,QPushButton,96,1,False,BRANCHE_DIRECT,clicked->_goto_segment
inspect_segment_btn,QPushButton,101,1,False,BRANCHE_DIRECT,clicked->_run_segment
inspect_export_segments_btn,QPushButton,104,1,False,BRANCHE_DIRECT,clicked->_export_segments
inspect_profile_combo,QComboBox,121,1,True,BRANCHE_DIRECT,currentTextChanged->_update_profile_rules_preview
inspect_norm_btn,QPushButton,128,1,False,BRANCHE_DIRECT,clicked->_run_normalize
inspect_set_preferred_profile_btn,QPushButton,134,1,False,BRANCHE_DIRECT,clicked->_set_episode_preferred_profile
inspect_manage_profiles_btn,QPushButton,140,1,False,BRANCHE_DIRECT,clicked->_open_profiles_dialog
inspect_profile_rules_preview,QPlainTextEdit,148,0,True,BRANCHE_INDIRECT,
raw_edit,QPlainTextEdit,158,0,True,BRANCHE_INDIRECT,
clean_edit,QPlainTextEdit,160,0,True,BRANCHE_INDIRECT,
inspect_segments_list,QListWidget,162,1,True,BRANCHE_DIRECT,currentItemChanged->_on_segment_selected
merge_examples_edit,QPlainTextEdit,177,0,True,BRANCHE_INDIRECT,
inspect_notes_edit,QPlainTextEdit,183,0,True,BRANCHE_INDIRECT,
