element_id,element_type,ui_presence,branching_status,source_evidence,runtime_evidence,assertion
refresh_btn,QPushButton,present,branche_effectif,tab_expert_controls_and_wiring_refs.txt:48-49,expert_runtime_snapshot.txt + pytest_expert_integration.log,Le clic sur Rafraichir appelle refresh() et reconstruit le snapshot.
summary_edit,QPlainTextEdit(read-only),present,branche_effectif,"tab_expert_controls_and_wiring_refs.txt:53-54,277",expert_runtime_snapshot.txt / expert_runtime_metrics.json,La zone affiche la synthese calculee via setPlainText().
tab_mount,MainWindow tab insertion,present,branche_effectif,branchage_refs.txt:mainwindow_tabs.py:163-177 + ui_mainwindow.py:105,test_ui_expert_tab.py::test_expert_tab_reports_core_cross_context,L onglet Expert est instancie et ajoute au QTabWidget.
tab_refresh_on_activation,tab-change hook,present,branche_effectif,branchage_refs.txt:ui_mainwindow.py:329-330,expert_runtime_snapshot.txt (generated_at mis a jour),Passer sur l onglet Expert declenche refresh().
job_refresh_chain,post-job refresh hook,present,branche_effectif,branchage_refs.txt:mainwindow_jobs.py:109,pytest_expert_integration.log::test_refresh_tabs_after_job_triggers_expert_refresh,"Apres job, _refresh_expert est appele via la chaine centrale."
project_open_refresh_chain,project open refresh hook,present,branche_effectif,branchage_refs.txt:mainwindow_project.py:128,pytest_expert_integration.log + expert_runtime_snapshot.txt,Ouverture projet et refresh global incluent l onglet Expert.
project_loaded_flag,derived status,present,branche_effectif,tab_expert_source_linenum.txt:_build_snapshot project_loaded,expert_runtime_metrics.json has_project_loaded_yes=true,Le flag depend de store+db non nuls.
context_consistency_flag,derived status,present,branche_effectif,tab_expert_source_linenum.txt:_get_context_episode_map + _build_snapshot,pytest_expert_integration.log::test_expert_tab_detects_context_mismatch,Le flag passe a no quand les episodes de contexte divergent.
alignment_segment_filter,derived status,present,branche_effectif,tab_expert_source_linenum.txt:_alignment_snapshot,expert_runtime_metrics.json has_segment_filter_utterance=true,Le filtre segment affiche la valeur du combo alignement.
propagation_counters,derived status,present,branche_effectif,"tab_expert_read_write_scan.txt:164,173",expert_runtime_snapshot.txt section Propagation state,Compteurs derives de load_character_assignments().
undo_redo_counters,derived status,present,branche_effectif,tab_expert_source_linenum.txt:_undo_snapshot + _render_snapshot,expert_runtime_metrics.json undo_line=- Undo actions: 0,Compteurs derives de QUndoStack (count/index/canUndo/canRedo).
